T_out,Press_mm_hg,RH_out
6.6,733.5,92
6.48,733.6,92
6.37,733.7,92
6.25,733.8,92
6.13,733.9,92
6.02,734,92
5.9,734.1,92
5.92,734.17,91.83
5.93,734.23,91.67
5.95,734.3,91.5
5.97,734.37,91.33
5.98,734.43,91.17
6,734.5,91
6,734.62,90.5
6,734.73,90
6,734.85,89.5
6,734.97,89
6,735.08,88.5
6,735.2,88
6,735.23,87.83
6,735.27,87.67
6,735.3,87.5
6,735.33,87.33
6,735.37,87.17
6,735.4,87
5.93,735.47,87.17
5.87,735.53,87.33
5.8,735.6,87.5
5.73,735.67,87.67
5.67,735.73,87.83
5.6,735.8,88
5.65,735.88,87.83
5.7,735.97,87.67
5.75,736.05,87.5
5.8,736.13,87.33
5.85,736.22,87.17
5.9,736.3,87
5.8,736.4,87.83
5.7,736.5,88.67
5.6,736.6,89.5
5.5,736.7,90.33
5.4,736.8,91.17
5.3,736.9,92
5.27,737,92
5.23,737.1,92
5.2,737.2,92
5.17,737.3,92
5.13,737.4,92
5.1,737.5,92
5.12,737.63,92
5.13,737.77,92
5.15,737.9,92
5.17,738.03,92
5.18,738.17,92
5.2,738.3,92
5.13,738.4,92
5.07,738.5,92
5,738.6,92
4.93,738.7,92
4.87,738.8,92
4.8,738.9,92
4.82,739.02,92.17
4.83,739.13,92.33
4.85,739.25,92.5
4.87,739.37,92.67
4.88,739.48,92.83
4.9,739.6,93
4.92,739.65,92.67
4.93,739.7,92.33
4.95,739.75,92
4.97,739.8,91.67
4.98,739.85,91.33
5,739.9,91
4.98,739.97,91.67
4.97,740.03,92.33
4.95,740.1,93
4.93,740.17,93.67
4.92,740.23,94.33
4.9,740.3,95
4.93,740.43,94.67
4.97,740.57,94.33
5,740.7,94
5.03,740.83,93.67
5.07,740.97,93.33
5.1,741.1,93
5.1,741.22,92.67
5.1,741.33,92.33
5.1,741.45,92
5.1,741.57,91.67
5.1,741.68,91.33
5.1,741.8,91
5.05,741.88,91
5,741.97,91
4.95,742.05,91
4.9,742.13,91
4.85,742.22,91
4.8,742.3,91
4.88,742.38,91
4.97,742.47,91
5.05,742.55,91
5.13,742.63,91
5.22,742.72,91
5.3,742.8,91
5.48,742.88,90.17
5.67,742.97,89.33
5.85,743.05,88.5
6.03,743.13,87.67
6.22,743.22,86.83
6.4,743.3,86
6.5,743.33,85.17
6.6,743.37,84.33
6.7,743.4,83.5
6.8,743.43,82.67
6.9,743.47,81.83
7,743.5,81
7.08,743.5,80.67
7.17,743.5,80.33
7.25,743.5,80
7.33,743.5,79.67
7.42,743.5,79.33
7.5,743.5,79
7.42,743.5,79.33
7.33,743.5,79.67
7.25,743.5,80
7.17,743.5,80.33
7.08,743.5,80.67
7,743.5,81
6.98,743.55,80.17
6.97,743.6,79.33
6.95,743.65,78.5
6.93,743.7,77.67
6.92,743.75,76.83
6.9,743.8,76
6.8,743.82,77
6.7,743.83,78
6.6,743.85,79
6.5,743.87,80
6.4,743.88,81
6.3,743.9,82
6.33,743.95,80.83
6.37,744,79.67
6.4,744.05,78.5
6.43,744.1,77.33
6.47,744.15,76.17
6.5,744.2,75
6.32,744.28,76.67
6.13,744.37,78.33
5.95,744.45,80
5.77,744.53,81.67
5.58,744.62,83.33
5.4,744.7,85
5.3,744.75,86
5.2,744.8,87
5.1,744.85,88
5,744.9,89
4.9,744.95,90
4.8,745,91
4.75,745.03,91.33
4.7,745.07,91.67
4.65,745.1,92
4.6,745.13,92.33
4.55,745.17,92.67
4.5,745.2,93
4.53,745.32,92.67
4.57,745.43,92.33
4.6,745.55,92
4.63,745.67,91.67
4.67,745.78,91.33
4.7,745.9,91
4.8,745.95,90.5
4.9,746,90
5,746.05,89.5
5.1,746.1,89
5.2,746.15,88.5
5.3,746.2,88
5.33,746.27,87.33
5.37,746.33,86.67
5.4,746.4,86
5.43,746.47,85.33
5.47,746.53,84.67
5.5,746.6,84
5.58,746.73,83.33
5.67,746.87,82.67
5.75,747,82
5.83,747.13,81.33
5.92,747.27,80.67
6,747.4,80
5.88,747.53,81.33
5.77,747.67,82.67
5.65,747.8,84
5.53,747.93,85.33
5.42,748.07,86.67
5.3,748.2,88
5.3,748.32,88.5
5.3,748.43,89
5.3,748.55,89.5
5.3,748.67,90
5.3,748.78,90.5
5.3,748.9,91
5.33,749.08,90.67
5.37,749.27,90.33
5.4,749.45,90
5.43,749.63,89.67
5.47,749.82,89.33
5.5,750,89
5.48,750.2,89
5.47,750.4,89
5.45,750.6,89
5.43,750.8,89
5.42,751,89
5.4,751.2,89
5.37,751.32,89.17
5.33,751.43,89.33
5.3,751.55,89.5
5.27,751.67,89.67
5.23,751.78,89.83
5.2,751.9,90
5.17,752.05,90
5.13,752.2,90
5.1,752.35,90
5.07,752.5,90
5.03,752.65,90
5,752.8,90
5.02,752.98,89.83
5.03,753.17,89.67
5.05,753.35,89.5
5.07,753.53,89.33
5.08,753.72,89.17
5.1,753.9,89
5.08,753.97,89.17
5.07,754.03,89.33
5.05,754.1,89.5
5.03,754.17,89.67
5.02,754.23,89.83
5,754.3,90
5,754.45,89.67
5,754.6,89.33
5,754.75,89
5,754.9,88.67
5,755.05,88.33
5,755.2,88
5,755.32,88
5,755.43,88
5,755.55,88
5,755.67,88
5,755.78,88
5,755.9,88
5.08,756.03,86.83
5.17,756.17,85.67
5.25,756.3,84.5
5.33,756.43,83.33
5.42,756.57,82.17
5.5,756.7,81
5.58,756.78,80.17
5.67,756.87,79.33
5.75,756.95,78.5
5.83,757.03,77.67
5.92,757.12,76.83
6,757.2,76
5.92,757.28,76.33
5.83,757.37,76.67
5.75,757.45,77
5.67,757.53,77.33
5.58,757.62,77.67
5.5,757.7,78
5.73,757.68,76.83
5.97,757.67,75.67
6.2,757.65,74.5
6.43,757.63,73.33
6.67,757.62,72.17
6.9,757.6,71
6.8,757.55,70.67
6.7,757.5,70.33
6.6,757.45,70
6.5,757.4,69.67
6.4,757.35,69.33
6.3,757.3,69
6.32,757.32,68
6.33,757.33,67
6.35,757.35,66
6.37,757.37,65
6.38,757.38,64
6.4,757.4,63
6.17,757.38,64.33
5.93,757.37,65.67
5.7,757.35,67
5.47,757.33,68.33
5.23,757.32,69.67
5,757.3,71
4.78,757.3,72
4.57,757.3,73
4.35,757.3,74
4.13,757.3,75
3.92,757.3,76
3.7,757.3,77
3.53,757.3,79
3.37,757.3,81
3.2,757.3,83
3.03,757.3,85
2.87,757.3,87
2.7,757.3,89
2.78,757.23,88.83
2.87,757.17,88.67
2.95,757.1,88.5
3.03,757.03,88.33
3.12,756.97,88.17
3.2,756.9,88
3.17,756.9,88.17
3.13,756.9,88.33
3.1,756.9,88.5
3.07,756.9,88.67
3.03,756.9,88.83
3,756.9,89
2.95,756.82,88.83
2.9,756.73,88.67
2.85,756.65,88.5
2.8,756.57,88.33
2.75,756.48,88.17
2.7,756.4,88
2.78,756.32,87.67
2.87,756.23,87.33
2.95,756.15,87
3.03,756.07,86.67
3.12,755.98,86.33
3.2,755.9,86
3.13,755.83,86.5
3.07,755.77,87
3,755.7,87.5
2.93,755.63,88
2.87,755.57,88.5
2.8,755.5,89
2.82,755.37,89.17
2.83,755.23,89.33
2.85,755.1,89.5
2.87,754.97,89.67
2.88,754.83,89.83
2.9,754.7,90
2.88,754.57,90.5
2.87,754.43,91
2.85,754.3,91.5
2.83,754.17,92
2.82,754.03,92.5
2.8,753.9,93
2.87,753.73,92.33
2.93,753.57,91.67
3,753.4,91
3.07,753.23,90.33
3.13,753.07,89.67
3.2,752.9,89
3.23,752.77,89
3.27,752.63,89
3.3,752.5,89
3.33,752.37,89
3.37,752.23,89
3.4,752.1,89
3.38,751.92,89.17
3.37,751.73,89.33
3.35,751.55,89.5
3.33,751.37,89.67
3.32,751.18,89.83
3.3,751,90
3.32,750.87,90
3.33,750.73,90
3.35,750.6,90
3.37,750.47,90
3.38,750.33,90
3.4,750.2,90
3.5,750.08,89.83
3.6,749.97,89.67
3.7,749.85,89.5
3.8,749.73,89.33
3.9,749.62,89.17
4,749.5,89
3.95,749.4,89.5
3.9,749.3,90
3.85,749.2,90.5
3.8,749.1,91
3.75,749,91.5
3.7,748.9,92
3.3,749,93
2.9,749.1,94
2.5,749.2,95
2.1,749.3,96
1.7,749.4,97
1.3,749.5,98
1.4,749.37,97.5
1.5,749.23,97
1.6,749.1,96.5
1.7,748.97,96
1.8,748.83,95.5
1.9,748.7,95
1.97,748.73,94.67
2.03,748.77,94.33
2.1,748.8,94
2.17,748.83,93.67
2.23,748.87,93.33
2.3,748.9,93
2.4,748.85,92.83
2.5,748.8,92.67
2.6,748.75,92.5
2.7,748.7,92.33
2.8,748.65,92.17
2.9,748.6,92
3.12,748.55,91.33
3.33,748.5,90.67
3.55,748.45,90
3.77,748.4,89.33
3.98,748.35,88.67
4.2,748.3,88
4.3,748.22,87.5
4.4,748.13,87
4.5,748.05,86.5
4.6,747.97,86
4.7,747.88,85.5
4.8,747.8,85
4.92,747.73,84.83
5.03,747.67,84.67
5.15,747.6,84.5
5.27,747.53,84.33
5.38,747.47,84.17
5.5,747.4,84
5.48,747.43,83.17
5.47,747.47,82.33
5.45,747.5,81.5
5.43,747.53,80.67
5.42,747.57,79.83
5.4,747.6,79
5.27,747.65,78.5
5.13,747.7,78
5,747.75,77.5
4.87,747.8,77
4.73,747.85,76.5
4.6,747.9,76
4.58,747.93,76
4.57,747.97,76
4.55,748,76
4.53,748.03,76
4.52,748.07,76
4.5,748.1,76
4.42,748.17,76.17
4.33,748.23,76.33
4.25,748.3,76.5
4.17,748.37,76.67
4.08,748.43,76.83
4,748.5,77
3.9,748.55,78.5
3.8,748.6,80
3.7,748.65,81.5
3.6,748.7,83
3.5,748.75,84.5
3.4,748.8,86
3.5,748.85,83.33
3.6,748.9,80.67
3.7,748.95,78
3.8,749,75.33
3.9,749.05,72.67
4,749.1,70
3.92,749.17,70
3.83,749.23,70
3.75,749.3,70
3.67,749.37,70
3.58,749.43,70
3.5,749.5,70
3.15,749.52,73.67
2.8,749.53,77.33
2.45,749.55,81
2.1,749.57,84.67
1.75,749.58,88.33
1.4,749.6,92
1.3,749.55,92.33
1.2,749.5,92.67
1.1,749.45,93
1,749.4,93.33
0.9,749.35,93.67
0.8,749.3,94
0.67,749.28,95
0.53,749.27,96
0.4,749.25,97
0.27,749.23,98
0.13,749.22,99
0,749.2,100
0.07,749.23,99.83
0.13,749.27,99.67
0.2,749.3,99.5
0.27,749.33,99.33
0.33,749.37,99.17
0.4,749.4,99
0.55,749.52,97.83
0.7,749.63,96.67
0.85,749.75,95.5
1,749.87,94.33
1.15,749.98,93.17
1.3,750.1,92
1.53,750.22,90.5
1.77,750.33,89
2,750.45,87.5
2.23,750.57,86
2.47,750.68,84.5
2.7,750.8,83
2.75,750.88,81.83
2.8,750.97,80.67
2.85,751.05,79.5
2.9,751.13,78.33
2.95,751.22,77.17
3,751.3,76
3.03,751.38,75.33
3.07,751.47,74.67
3.1,751.55,74
3.13,751.63,73.33
3.17,751.72,72.67
3.2,751.8,72
3.2,751.88,72.67
3.2,751.97,73.33
3.2,752.05,74
3.2,752.13,74.67
3.2,752.22,75.33
3.2,752.3,76
3.2,752.38,76.33
3.2,752.47,76.67
3.2,752.55,77
3.2,752.63,77.33
3.2,752.72,77.67
3.2,752.8,78
3.2,752.87,78.33
3.2,752.93,78.67
3.2,753,79
3.2,753.07,79.33
3.2,753.13,79.67
3.2,753.2,80
3.2,753.28,80.33
3.2,753.37,80.67
3.2,753.45,81
3.2,753.53,81.33
3.2,753.62,81.67
3.2,753.7,82
3.32,753.8,82
3.43,753.9,82
3.55,754,82
3.67,754.1,82
3.78,754.2,82
3.9,754.3,82
3.87,754.37,83
3.83,754.43,84
3.8,754.5,85
3.77,754.57,86
3.73,754.63,87
3.7,754.7,88
3.73,754.75,87.83
3.77,754.8,87.67
3.8,754.85,87.5
3.83,754.9,87.33
3.87,754.95,87.17
3.9,755,87
3.95,755,86.83
4,755,86.67
4.05,755,86.5
4.1,755,86.33
4.15,755,86.17
4.2,755,86
4.25,755.05,85.67
4.3,755.1,85.33
4.35,755.15,85
4.4,755.2,84.67
4.45,755.25,84.33
4.5,755.3,84
4.03,755.45,86
3.57,755.6,88
3.1,755.75,90
2.63,755.9,92
2.17,756.05,94
1.7,756.2,96
1.78,756.27,95.67
1.87,756.33,95.33
1.95,756.4,95
2.03,756.47,94.67
2.12,756.53,94.33
2.2,756.6,94
2.32,756.72,93.83
2.43,756.83,93.67
2.55,756.95,93.5
2.67,757.07,93.33
2.78,757.18,93.17
2.9,757.3,93
2.83,757.42,93
2.77,757.53,93
2.7,757.65,93
2.63,757.77,93
2.57,757.88,93
